datetime,value
2018-04-21 14:38:17.671,online
2018-04-21 14:38:27.671,online
2018-04-21 14:38:37.675,online
2018-04-21 14:38:47.670,online
2018-04-21 14:38:57.686,online
2018-04-21 14:39:07.671,online
2018-04-21 14:39:17.671,online
2018-04-21 14:39:27.671,online
2018-04-21 14:39:37.670,online
2018-04-21 14:39:47.670,online
2018-04-21 14:39:57.680,online
2018-04-21 14:40:07.670,online
2018-04-21 14:40:17.671,online
2018-04-21 14:40:27.671,online
2018-04-21 14:40:37.671,online
2018-04-21 14:40:47.673,online
2018-04-21 14:40:57.671,online
2018-04-21 14:41:07.671,online
2018-04-21 14:41:17.670,online
2018-04-21 14:41:27.671,online
2018-04-21 14:41:37.679,online
2018-04-21 14:41:47.671,online
2018-04-21 14:41:57.667,online
2018-04-21 14:42:07.677,online
2018-04-21 14:42:17.670,online
2018-04-21 14:42:27.672,online
2018-04-21 14:42:37.683,online
2018-04-21 14:42:47.671,online
2018-04-21 14:42:57.675,online
2018-04-21 14:43:07.669,online
2018-04-21 14:43:17.670,online
2018-04-21 14:43:27.671,online
2018-04-21 14:43:37.671,online
2018-04-21 14:43:47.673,online
2018-04-21 14:43:57.671,online
2018-04-21 14:44:07.672,online
2018-04-21 14:44:17.670,online
2018-04-21 14:44:27.671,online
2018-04-21 14:44:37.671,online
2018-04-21 14:44:47.664,online
2018-04-21 14:44:57.670,online
2018-04-21 14:45:07.674,online
2018-04-21 14:45:17.663,online
2018-04-21 14:45:27.670,online
2018-04-21 14:45:37.671,online
2018-04-21 14:45:47.671,online
2018-04-21 14:45:57.673,online
2018-04-21 14:46:07.670,online
2018-04-21 14:46:17.662,online
2018-04-21 14:46:27.672,online
2018-04-21 14:46:37.670,online
2018-04-21 14:46:47.672,online
2018-04-21 14:46:57.670,online
2018-04-21 14:47:07.670,online
2018-04-21 14:47:17.670,online
2018-04-21 14:47:27.662,online
2018-04-21 14:47:37.671,online
2018-04-21 14:47:47.670,online
2018-04-21 14:47:57.673,online
2018-04-21 14:48:07.674,online
2018-04-21 14:48:17.670,online
2018-04-21 14:48:27.672,online
2018-04-21 14:48:37.670,online
2018-04-21 14:48:47.671,online
2018-04-21 14:48:57.675,online
2018-04-21 14:49:07.642,online
2018-04-21 14:49:17.671,online
2018-04-21 14:49:27.671,online
2018-04-21 14:49:37.669,online
2018-04-21 14:49:47.671,online
2018-04-21 14:49:57.669,online
2018-04-21 14:50:07.671,online
2018-04-21 14:50:17.622,online
2018-04-21 14:50:27.622,online
2018-04-21 14:50:37.634,online
2018-04-21 14:50:47.631,online
2018-04-21 14:50:57.670,online
2018-04-21 14:51:07.672,online
2018-04-21 14:51:17.669,online
2018-04-21 14:51:27.669,online
2018-04-21 14:51:37.670,online
2018-04-21 14:51:47.669,online
2018-04-21 14:51:57.670,online
2018-04-21 14:52:07.669,online
2018-04-21 14:52:17.669,online
2018-04-21 14:52:27.673,online
2018-04-21 14:52:37.669,online
2018-04-21 14:52:47.670,online
2018-04-21 14:52:57.669,online
2018-04-21 14:53:07.672,online
2018-04-21 14:53:17.672,online
2018-04-21 14:53:27.669,online
2018-04-21 14:53:37.670,online
2018-04-21 14:53:47.675,online
2018-04-21 14:53:57.669,online
2018-04-21 14:54:07.672,online
2018-04-21 14:54:17.669,online
2018-04-21 14:54:27.665,online
2018-04-21 14:54:37.624,online
2018-04-21 14:54:47.670,online
2018-04-21 14:54:57.670,online
2018-04-21 14:55:07.622,online
2018-04-21 14:55:17.670,online
2018-04-21 14:55:27.674,online
2018-04-21 14:55:37.670,online
2018-04-21 14:55:47.671,online
